Date,Opening,Highest,Lowest,Closing,Wolumen
2009-05-10,1.14252,1.36714,1.12367,1.20793,7711832.5753509
2009-05-17,1.24545,1.26421,1.14252,1.17995,2028057.7010773
2009-05-24,1.17995,1.2923,1.13309,1.13309,1965381.281982
2009-05-31,1.14252,1.21737,1.11434,1.16118,1264458.5987629
2009-06-07,1.16118,1.27344,1.12367,1.21737,3121874.5892002
2009-06-14,1.1986,1.28296,1.18917,1.22669,1361509.9644131
2009-06-21,1.23602,1.27344,1.20793,1.25478,1288736.2038591
2009-06-28,1.25478,1.25478,1.105,1.18917,1084776.4227793
2009-07-05,1.18917,1.34847,1.17051,1.2923,3807549.9508157
2009-07-12,1.26421,1.3859,1.22669,1.36714,1802771.0152691
2009-07-19,1.33905,1.42342,1.28296,1.33905,2379960.792763
2009-07-26,1.32972,1.39533,1.32039,1.36714,1155089.22999
2009-08-02,1.37656,1.77925,1.32039,1.6387,4760936.7160529
2009-08-09,1.62004,1.65746,1.47959,1.52635,3132920.8791552
2009-08-16,1.5451,1.58262,1.4514,1.49836,1803590.6542602
2009-08-23,1.47017,1.50758,1.43275,1.47017,731718.70921061
2009-08-30,1.47017,1.53577,1.4514,1.47959,1562838.7552408
2009-09-06,1.37656,1.41398,1.17051,1.21737,1998456.0061871
2009-09-13,1.23602,1.32039,1.21737,1.24545,851990.80384192
2009-09-20,1.23602,1.26421,1.17051,1.24545,1429975.7838849
2009-09-27,1.23602,1.4514,1.21737,1.37656,2961744.6213472
2009-10-04,1.31096,1.59185,1.25478,1.47017,10532059.652145
2009-10-11,1.49836,1.57319,1.33905,1.39533,3052466.9485274
2009-10-18,1.40456,1.61071,1.36714,1.56387,4326971.9794948
2009-10-25,1.55443,1.58262,1.39533,1.47017,3513705.8088782
2009-11-01,1.48883,1.48883,1.39533,1.4514,575395.73537937
2009-11-08,1.4514,1.53577,1.35781,1.35781,1734407.0143055
2009-11-15,1.3859,1.39533,1.33905,1.3859,671100.04216606
2009-11-22,1.3859,1.42342,1.31096,1.33905,967469.28310696
2009-11-29,1.35781,1.35781,1.21737,1.30163,532455.81591435
2009-12-06,1.31096,1.42342,1.31096,1.35781,771171.34476964
2009-12-13,1.35781,1.35781,1.28296,1.32972,369642.93037018
2009-12-20,1.31096,1.32972,1.23602,1.23602,353885.49804047
2009-12-27,1.23602,1.23602,1.15176,1.17995,714280.25331044
2010-01-03,1.17995,1.24545,1.15176,1.21737,480331.86700929
2010-01-10,1.24545,1.32039,1.21737,1.26421,570772.1569218
2010-01-17,1.27344,1.2923,1.22669,1.27344,295859.13021481
2010-01-24,1.2923,1.31096,1.20793,1.23602,693890.07885743
2010-01-31,1.21737,1.22669,1.16118,1.1986,389382.48455575
2010-02-07,1.17995,1.22669,1.09567,1.15176,472570.24212888
2010-02-14,1.13309,1.17051,1.09567,1.12367,343497.97383346
2010-02-21,1.09567,1.18917,1.09567,1.17051,563682.53419554
2010-02-28,1.17995,1.18917,1.13309,1.17051,452477.37771982
2010-03-07,1.17995,1.1986,1.13309,1.16118,348342.49845382
2010-03-14,1.16118,1.25478,1.14252,1.20793,908306.62072974
2010-03-21,1.21737,1.33905,1.1986,1.26421,1425135.3320049
2010-03-28,1.27344,1.35781,1.1986,1.21737,2417392.3309342
2010-04-04,1.21737,1.22669,1.12367,1.17995,1061078.1649948
2010-04-11,1.18917,1.1986,1.105,1.14252,1018886.6115651
2010-04-18,1.11434,1.18917,1.105,1.16118,2220719.7004867
2010-04-25,1.14252,1.16118,1.105,1.14252,731499.79941796
2010-05-02,1.15176,1.16118,1.08615,1.12367,970233.65560472
2010-05-09,1.12367,1.12367,1.05816,1.07692,601708.69245462
2010-05-16,1.08615,1.22669,1.06748,1.17051,2800894.7966411
2010-05-23,1.15176,1.21737,1.105,1.14252,866712.74194319
2010-05-30,1.11434,1.1986,1.105,1.1986,729379.93807715
2010-06-06,1.1986,1.1986,1.12367,1.15176,463747.66839297
2010-06-13,1.14252,1.27344,1.11434,1.26421,2098103.7437965
2010-06-20,1.26421,1.27344,1.20793,1.25478,816956.07335388
2010-06-27,1.25478,1.46094,1.25478,1.3859,3783334.4550094
2010-07-04,1.3859,1.4514,1.25478,1.33905,2462978.5134275
2010-07-11,1.33905,1.36714,1.28296,1.32039,658417.52878412
2010-07-18,1.30163,1.39533,1.2923,1.34847,666315.59046553
2010-07-25,1.32972,1.4514,1.31096,1.43275,1504476.386338
2010-08-01,1.4514,1.49836,1.40456,1.4514,1340715.5704825
2010-08-08,1.4514,1.6387,1.44207,1.58262,2317593.9019326
2010-08-15,1.59185,2.08823,1.59185,1.85408,8927994.582932
2010-08-22,1.96644,2.31304,1.87284,2.01338,13386403.056483
2010-08-29,2.10688,2.30351,1.99463,2.25676,5921554.6910384
2010-09-05,2.28485,3.36177,2.24743,2.9966,18200557.252218
2010-09-12,3.09953,3.22122,2.80921,2.90291,6795239.9644234
2010-09-19,2.931,2.931,2.20068,2.48148,13083795.395544
2010-09-26,2.57517,3.16514,2.52832,2.86549,14541307.994973
2010-10-03,2.86549,3.04336,2.76247,2.79989,3962174.5919301
2010-10-10,2.73438,2.82808,2.5845,2.61268,3027432.8319151
2010-10-17,2.61268,2.71571,2.37855,2.46281,3427789.3152852
2010-10-24,2.47214,2.68753,2.24743,2.50966,4505765.2799017
2010-10-31,2.57517,2.57517,2.20068,2.24743,3720311.8529862
2010-11-07,2.24743,2.42529,2.2381,2.38788,1364501.3921841
2010-11-14,2.52832,2.57517,2.44406,2.52832,2318774.9966278
2010-11-21,2.55641,2.95899,2.4908,2.75313,4838410.4189455
2010-11-28,2.84673,2.90291,2.65011,2.72495,1900000.5633087
2010-12-05,2.73438,2.7437,2.52832,2.66877,1209460.3133712
2010-12-12,2.67819,2.70619,2.52832,2.61268,904826.46411932
2010-12-19,2.62192,2.68753,2.56574,2.62192,999430.1128323
2010-12-26,2.62192,3.03402,2.62192,2.89358,3894304.4107311
2011-01-02,2.89358,2.9966,2.84673,2.90291,1267798.245832
2011-01-09,2.91234,3.09953,2.84673,3.02459,2436282.7187614
2011-01-16,3.01537,3.27749,2.86549,3.23065,2830008.7808771
2011-01-23,3.31501,4.25139,3.23065,4.03591,11944527.743544
2011-01-30,4.12027,5.24403,4.10151,4.86002,19221955.726381
2011-02-06,4.73823,5.23461,4.33556,4.68215,11684161.527105
2011-02-13,4.71958,6.07748,4.69149,5.7683,15975693.538448
2011-02-20,5.91818,7.49137,5.67471,7.28532,15491061.875837
2011-02-27,7.39777,7.63191,4.92552,6.08672,28392612.323547
2011-03-06,6.00254,6.06795,5.20652,5.7683,10740443.447406
2011-03-13,5.78716,7.01385,5.63729,6.57365,16799989.708059
2011-03-20,6.54557,6.99509,6.27401,6.62051,7652491.7305843
2011-03-27,6.74229,7.48204,6.69544,7.38835,7533315.2031012
2011-04-03,7.45394,7.94079,7.44462,7.77226,6939559.5543225
2011-04-10,7.80968,8.06258,7.59439,7.80035,6783545.090571
2011-04-17,7.86595,8.47459,7.67876,8.42774,6322449.7943168
2011-04-24,8.61514,9.1674,8.16561,9.08244,10063778.005582
2011-05-01,9.13017,9.25234,8.1,8.51211,6760197.0884547
2011-05-08,8.3529,8.61514,7.71618,8.33424,6703652.1799235
2011-05-15,8.33424,8.87717,8.32471,8.5401,4674074.3285187
2011-05-22,8.6994,8.78366,7.73484,8.52144,7746593.4140518
2011-05-29,8.38099,8.39032,7.78169,8.0064,3614846.2058179
2011-06-05,8.24045,8.43717,7.91281,7.95956,3925252.1462999
2011-06-12,7.86595,8.1,6.76105,7.39777,5509128.6417059
2011-06-19,7.39777,7.85663,7.04194,7.20114,3018989.0230298
2011-06-26,7.12611,7.12611,6.40513,6.6486,2515571.8456554
2011-07-03,6.48006,7.13554,5.8621,6.92958,8163576.8598117
2011-07-10,6.93892,6.98566,6.08672,6.4614,4682148.5362192
2011-07-17,6.48939,7.11688,6.24592,6.72354,4529786.3023572
