Date,Opening,Highest,Lowest,Closing
28/06/2009,933.65,948.24,913.3,940.05
05/07/2009,936.25,944.83,923.6,932
12/07/2009,929.8,931.78,904.95,913
19/07/2009,914.15,941.61,907.85,938.28
26/07/2009,937.48,957.27,937.48,952.25
02/08/2009,950.1,958.59,925.65,953.9
09/08/2009,952.86,971.4,951.01,954.9
16/08/2009,954.58,960.41,939.95,946.22
23/08/2009,947.28,957.7,930.22,953.08
30/08/2009,953.6,960.1,936.68,956.97
06/09/2009,954.6,997.19,943.68,991.78
13/09/2009,994.42,1011.4,983.02,1003.9
20/09/2009,1006.2,1024,992.26,1009.4
27/09/2009,1003.7,1019.3,985,990.91
04/10/2009,993.35,1009.7,985.07,1002.4
11/10/2009,1001.7,1061.3,1001,1046.8
18/10/2009,1052.9,1070.6,1043.1,1052.35
25/10/2009,1055,1067.8,1047.9,1055.9
01/11/2009,1053.1,1059.3,1027,1041
08/11/2009,1042.4,1100.3,1042.4,1093.8
15/11/2009,1097.4,1122.7,1095.8,1115.5
22/11/2009,1124.6,1152.1,1123,1148.3
29/11/2009,1158.2,1195.1,1137.4,1176.6
06/12/2009,1171.4,1226.2,1157,1159.5
13/12/2009,1157.6,1168.7,1109.4,1116
20/12/2009,1112.8,1141.5,1097,1108.5
27/12/2009,1115.1,1118.1,1074.5,1104.6
03/01/2010,1107.9,1113.6,1086.1,1096.6
10/01/2010,1095.2,1139.88,1094.2,1137
17/01/2010,1138.25,1160.95,1118.03,1130.25
24/01/2010,1130.83,1140.78,1081.43,1092.3
31/01/2010,1092.68,1103.38,1073.28,1080.05
07/02/2010,1080.38,1124.22,1043.72,1065.3
14/02/2010,1065.88,1096.78,1060.9,1092.55
21/02/2010,1092.03,1126.15,1090.83,1118.45
28/02/2010,1121.25,1130.18,1087.43,1116.85
07/03/2010,1118.6,1144.08,1111.22,1133.9
14/03/2010,1135.2,1136.83,1097.93,1100.85
21/03/2010,1102.8,1132.47,1100.45,1105.95
28/03/2010,1103.05,1108.78,1084.28,1106.47
04/04/2010,1110.9,1127.08,1100.83,1119.95
11/04/2010,1123.1,1163.83,1121.8,1160.95
18/04/2010,1162.45,1168.93,1129.13,1136.45
25/04/2010,1133.6,1157,1122.93,1156.8
02/05/2010,1156.25,1180.78,1145.72,1178.05
09/05/2010,1179.15,1212.53,1156.97,1207.1
16/05/2010,1205.35,1248.7,1183.4,1231.15
23/05/2010,1231.1,1241.3,1166.1,1176.13
30/05/2010,1177.35,1217.55,1176.65,1213.38
06/06/2010,1213.75,1227.95,1196,1218.85
13/06/2010,1218.88,1250.9,1209.93,1225.55
20/06/2010,1226.6,1261.43,1215.8,1255.88
27/06/2010,1258.82,1264.2,1224.2,1254.5
04/07/2010,1253.85,1261.53,1195.78,1210.45
11/07/2010,1212.1,1213.5,1184.2,1210.6
18/07/2010,1211.5,1217.05,1185.85,1192.1
25/07/2010,1193.1,1203.2,1174.9,1188.28
01/08/2010,1187.2,1193.53,1156.6,1180.3
08/08/2010,1181.15,1210,1173.55,1204.55
15/08/2010,1204.05,1216.7,1190.1,1214.6
22/08/2010,1213.7,1236.3,1213.45,1227.05
29/08/2010,1226.4,1243.53,1209.65,1237.15
05/09/2010,1236.3,1253.9,1230.7,1245.9
12/09/2010,1247.75,1261.25,1236.1,1245.65
19/09/2010,1245.2,1282.7,1240.45,1273.95
26/09/2010,1276.7,1299.65,1271.3,1296.2
03/10/2010,1297.1,1320,1282.5,1318.7
10/10/2010,1317.7,1364.5,1312.2,1342.8
17/10/2010,1347.9,1386.95,1340.25,1368.35
24/10/2010,1370.35,1374.75,1314.7,1328.25
31/10/2010,1328.75,1359.05,1319.05,1359.05
07/11/2010,1363.6,1397.95,1325.35,1393.3
14/11/2010,1396.7,1424.1,1360.1,1368.25
21/11/2010,1370,1376.45,1329.65,1353.2
28/11/2010,1357.45,1382.2,1348.35,1363.05
05/12/2010,1362.9,1415.55,1352.8,1413.45
12/12/2010,1413.8,1430.6,1370.9,1385.25
19/12/2010,1383.75,1408.05,1361.85,1374.9
26/12/2010,1375.75,1391.8,1372.15,1378.25
02/01/2011,1377.45,1420.95,1372.35,1420.55
09/01/2011,1419,1423.5,1354.3,1364.7
16/01/2011,1371,1392.8,1355.1,1360.9
23/01/2011,1362.3,1378.87,1337.91,1342.1
30/01/2011,1342.93,1353.31,1308.26,1336.7
06/02/2011,1338.4,1358,1323.19,1348.96
13/02/2011,1347.42,1368.25,1343.74,1356.71
20/02/2011,1357.09,1391.84,1353.97,1390.45
27/02/2011,1391.42,1418.2,1390.22,1410.35
06/03/2011,1410.55,1440.42,1405.1,1431.15
13/03/2011,1434.6,1444.86,1403.15,1417.94
20/03/2011,1431.14,1431.37,1381.26,1420.02
27/03/2011,1425.76,1447.86,1419.6,1429.9
03/04/2011,1427.7,1439.46,1410.41,1428.9
10/04/2011,1428.9,1475.27,1428.11,1475.1
17/04/2011,1475.38,1488.4,1444.25,1486.6
24/04/2011,1486.75,1509.22,1477.62,1504.34
01/05/2011,1510.72,1569.41,1493.21,1563.45
08/05/2011,1566.32,1576.9,1462.65,1495.6
15/05/2011,1495.5,1526.67,1478.26,1495.25
22/05/2011,1495.2,1515.89,1472.12,1512.05
29/05/2011,1513.02,1538.47,1504.05,1536.26
05/06/2011,1536.72,1550.47,1519.72,1542.15
12/06/2011,1542.41,1553.69,1526.05,1531.3
19/06/2011,1530.25,1542.13,1511.07,1539.4
26/06/2011,1539.87,1558.23,1498.58,1502.75
03/07/2011,1501.42,1514.33,1478.35,1487.75
10/07/2011,1486.82,1545.52,1486.34,1544.2
17/07/2011,1545.87,1594.25,1540.83,1593.75
24/07/2011,1593.93,1610.2,1581.2,1601.25
31/07/2011,1608.47,1632.65,1603.3,1624.85
07/08/2011,1610.15,1681.9,1609,1661.05
14/08/2011,1689.95,1814.99,1682.55,1746.6
21/08/2011,1745,1877.51,1728.63,1852.05
28/08/2011,1861.15,1912.14,1703.27,1828.2
04/09/2011,1837.95,1884.53,1776.33,1882.85
11/09/2011,1878.05,1921.07,1793.12,1856.5
18/09/2011,1856.85,1862.33,1762.76,1811.41
25/09/2011,1817.96,1827.11,1628.69,1644.1
02/10/2011,1657.07,1677.13,1533.19,1623.83
09/10/2011,1620.28,1678.43,1595.76,1638.16
16/10/2011,1639.51,1691.98,1638.34,1680.83
23/10/2011,1682.96,1695.08,1603.32,1641.67
30/10/2011,1642.16,1752.59,1635.69,1743.3
06/11/2011,1743.17,1768.08,1681.39,1754.84
13/11/2011,1753.86,1803.1,1736.05,1788.36
20/11/2011,1788.76,1796.12,1710.62,1724
27/11/2011,1723.35,1726.53,1666.8,1680.46
04/12/2011,1680.58,1762.55,1680.58,1746.65
11/12/2011,1747.45,1755.98,1702.18,1711.41
18/12/2011,1712.69,1714.93,1560.55,1598.98
25/12/2011,1601.25,1641.89,1583.5,1606.91
01/01/2012,1607.41,1607.41,1522.86,1564.81
08/01/2012,1569.36,1630.84,1567.14,1617.55
15/01/2012,1617.18,1662.09,1605.39,1639.48
22/01/2012,1635.31,1670.2,1631.77,1666.58
29/01/2012,1665.09,1739.65,1649.22,1739.26
05/02/2012,1736.79,1763.3,1716.55,1726.18
12/02/2012,1728.34,1752.24,1704.67,1721.72
19/02/2012,1725.08,1737.36,1705.67,1723.23
26/02/2012,1726.71,1787.46,1726.63,1772.31
04/03/2012,1775.01,1790.71,1688.75,1712.46
11/03/2012,1712.58,1716.79,1663.68,1713.98
18/03/2012,1714.07,1714.35,1634.68,1659.91
25/03/2012,1658.77,1669.86,1628.22,1661.92
01/04/2012,1662.86,1697.1,1645.23,1668.28
08/04/2012,1670.22,1683.7,1612.53,1631.23
15/04/2012,1643.31,1680.23,1632.04,1658.41
22/04/2012,1655.93,1657.84,1631.48,1642.97
29/04/2012,1642.15,1666.6,1623.58,1662.3
06/05/2012,1663.7,1670.8,1626.9,1641.8
13/05/2012,1638.3,1642.1,1573.47,1578.93
20/05/2012,1581.24,1597.02,1526.63,1592.44
27/05/2012,1592.57,1598.77,1533.45,1572.82
03/06/2012,1574.91,1628.58,1533.45,1621.81
10/06/2012,1619.61,1639.2,1556.89,1592.08
17/06/2012,1598.52,1631.79,1580.59,1624.69
24/06/2012,1614.34,1631.53,1556.74,1571.8
01/07/2012,1566.72,1605.41,1546.56,1596.95
08/07/2012,1597.51,1624.07,1576.37,1583.15
15/07/2012,1578.18,1600.38,1554.26,1589.4
22/07/2012,1591.33,1598.33,1567.73,1584.1
29/07/2012,1580.92,1628.82,1563.23,1622.5
05/08/2012,1623.68,1627.26,1584.69,1603.05
12/08/2012,1603.12,1625.8,1602.99,1619.75
19/08/2012,1620.98,1625.16,1590.21,1615.55
26/08/2012,1616.83,1674.5,1609.84,1670.15
02/09/2012,1673.75,1692.58,1646.72,1691.61
09/09/2012,1687.75,1741.09,1685.17,1734.85
16/09/2012,1733.35,1777.45,1719.33,1769.5
23/09/2012,1774.43,1787.2,1752.28,1772.81
30/09/2012,1770.13,1782.83,1736.75,1771.25
07/10/2012,1765.4,1795.54,1763,1779.7
14/10/2012,1776.7,1779.35,1751.82,1753.5
21/10/2012,1743.65,1753.12,1716.17,1720.75
28/10/2012,1715.77,1729.05,1698.26,1710.6
04/11/2012,1714.37,1726.51,1674.27,1677.46
11/11/2012,1682.11,1738.08,1672.29,1730.75
18/11/2012,1733.83,1737.59,1704.68,1713.35
25/11/2012,1716.68,1753.92,1715.75,1750.76
02/12/2012,1749.97,1751.77,1705.55,1714.4
09/12/2012,1716.72,1721.98,1683.49,1703.65
16/12/2012,1704.66,1722.95,1689.27,1695.7
23/12/2012,1694.36,1702.75,1635.29,1656.75
30/12/2012,1656.02,1667.71,1651.65,1655.07
06/01/2013,1657.99,1694.47,1625.44,1655.7
13/01/2013,1657.1,1678.44,1642.52,1662.4
20/01/2013,1661.47,1696.09,1660.74,1683.3
27/01/2013,1687.07,1695.67,1655.58,1658.3
03/02/2013,1658.47,1683.36,1651.57,1667.05
10/02/2013,1665.42,1684.55,1661.46,1666.8
17/02/2013,1667.43,1669.2,1597.71,1609.7
24/02/2013,1615.12,1618.43,1554.73,1581.15
03/03/2013,1576.71,1619.43,1564.48,1575.65
10/03/2013,1580.21,1585.97,1561.14,1578.24
17/03/2013,1576.5,1598.72,1575.67,1591.76
24/03/2013,1600.74,1616.23,1591.2,1608.21
31/03/2013,1605.36,1613.18,1589.61,1596.65
07/04/2013,1595.77,1603.47,1539.78,1580.75
14/04/2013,1580.68,1589.9,1481.22,1482.8
21/04/2013,1484.87,1495.14,1321.42,1403.1
28/04/2013,1406.44,1484.95,1403.45,1461.3
05/05/2013,1462.07,1487.53,1440.2,1470.16
12/05/2013,1469.72,1478.46,1419.57,1443.85
19/05/2013,1440.15,1445.39,1349.53,1355.58
26/05/2013,1347.45,1413.9,1338.06,1383.61
02/06/2013,1386.7,1421.7,1373.62,1385.08
09/06/2013,1392.04,1423.15,1377.88,1382.45
